parcel,source,owner_name,address,jurisdiction,luc,luc_desc,parcel_class,acres,assessed_land,assessed_bldg,has_building,city_department,city_intended_use,development_candidate,census_tract,lat,lon
R72 10508 0006,both,DAYTON CITY OF,DELLA DR,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001650.00,000000000000.00,N,,,Y,39113-004100-2,39.73787666579289,-84.22843335049913
R72 10602 0031,both,DAYTON CITY OF,440 SMITH ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004430.00,000000000000.00,N,Planning,Surplus,Y,39113-003500-3,39.74070869219356,-84.20215963677359
R72 10608 0072,county_only,THE CITY OF DAYTON,EDWIN C MOSES BLVD,DAYTON,400,Commercial vacant land,C,0000.01500,000000000000.00,000000000000.00,N,,,Y,,,
R72 10702 0009,county_only,DAYTON CITY OF,CANAL LAND,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 10702 0012,county_only,THE CITY OF DAYTON,ROADWAY,DAYTON,400,Commercial vacant land,C,0000.00130,000000000000.00,000000000000.00,N,,,Y,,,
R72 10906 0050,both,CITY OF DAYTON,THEODORE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000540.00,000000000000.00,N,Planning,Surplus,Y,39113-001100-2,39.79721976752468,-84.20792533779796
R72 11201 0054,both,DAYTON CITY OF,2304 2306 CATALPA DR,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000005840.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.78969499481337,-84.22552725084853
R72 11211 0013,both,DAYTON CITY OF,2631 N MAIN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000008080.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.788587849507664,-84.2132488126178
R72 11307 0053,county_only,DAYTON CITY OF,HILLCREST AVE,DAYTON,400,Commercial vacant land,C,0000.02100,000000000110.00,000000000000.00,N,,,Y,,,
R72 11307 0054,county_only,DAYTON CITY OF,HLLCREST AVE,DAYTON,400,Commercial vacant land,C,0000.02100,000000000110.00,000000000000.00,N,,,Y,,,
R72 11307 0055,county_only,CITY OF DAYTON,1112 W HILLCREST AVE,DAYTON,400,Commercial vacant land,C,0000.01400,000000000000.00,000000000000.00,N,,,Y,,,
R72 11409 0017,both,CITY OF DAYTON,223 W FAIRVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002560.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.784928331545736,-84.21730888702182
R72 11409 0019,both,CITY OF DAYTON,213 W FAIRVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004370.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.784897448511174,-84.21716934607707
R72 11409 0020,both,CITY OF DAYTON,213 W FAIRVIEW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003930.00,000000000000.00,N,Planning,Surplus,Y,39113-000801-2,39.78500734743706,-84.21705316055916
R72 11501 0019,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78530858013181,-84.22655040883595
R72 11501 0053,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78609346894586,-84.2271497841076
R72 11502 0039,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.7859012124504,-84.23011347469739
R72 11502 0083,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78552854810033,-84.22820367874863
R72 11508 0052,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.783513390654896,-84.22929964168459
R72 11508 0065,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78331227341439,-84.22885971838501
R72 11508 0081,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 11508 0084,county_only,DAYTON CITY OF,ROADWAY,DAYTON,400,Commercial vacant land,C,0000.00800,000000000000.00,000000000000.00,N,,,Y,,,
R72 11508 0085,county_only,DAYTON CITY OF,SALEM AVE,DAYTON,400,Commercial vacant land,C,0000.00600,000000000000.00,000000000000.00,N,,,Y,,,
R72 11509 0003,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.784851933590964,-84.22586286157858
R72 11509 0033,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78488574169488,-84.22655059935505
R72 11509 0041,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.784544124754284,-84.22699765316516
R72 11602 0038,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78156581838307,-84.22879579193722
R72 11701 0041,both,DAYTON CITY OF,1814 WABASH AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000004780.00,000000000000.00,N,Public Works,Other,Y,39113-000802-2,39.784343116611716,-84.21901699922039
R72 11701 0042,both,DAYTON CITY OF,WABASH AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000004740.00,000000000000.00,N,Public Works,Other,Y,39113-000802-2,39.78444385362467,-84.21899013319099
R72 11701 0043,both,DAYTON CITY OF,1822 WABASH AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000004550.00,000000000000.00,N,Public Works,Other,Y,39113-000802-2,39.78454340264959,-84.21902905633497
R72 11705 0044,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78552576180967,-84.22541685754456
R72 11706 0001,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78542691570855,-84.22541440909822
R72 11707 0004,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78290756294556,-84.2253271081312
R72 11707 0025,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.78266548750641,-84.22405417767429
R72 11801 0026,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.782338063786895,-84.22335208636495
R72 11913 0067,both,DAYTON CITY OF,1431 NEWTON AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003790.00,000000000000.00,N,Planning,Surplus,Y,39113-000400-3,39.77370540895811,-84.23726549738657
R72 12102 0025,both,DAYTON CITY OF,SHAKESPEARE AVE,DAYTON,500,"Residential vacant land, lot",R,0000.04000,000000001380.00,000000000000.00,N,Public Works,Other,Y,39113-000400-1,39.76697794779223,-84.23509118222549
R72 12103 0023,county_only,CITY OF DAYTON,2722 RIVERVIEW AVE,DAYTON,400,Commercial vacant land,C,0000.02800,000000000380.00,000000000000.00,N,,,Y,,,
R72 12103 0024,county_only,CITY OF DAYTON,RIVERVIEW AVE,DAYTON,400,Commercial vacant land,C,0000.00900,000000000120.00,000000000000.00,N,,,Y,,,
R72 12103 0025,county_only,CITY OF DAYTON,RIVERVIEW AVE,DAYTON,400,Commercial vacant land,C,0000.00500,000000000070.00,000000000000.00,N,,,Y,,,
R72 12103 0026,county_only,DAYTON CITY OF,PHILADELPHIA DR,DAYTON,400,Commercial vacant land,C,0000.20800,000000000000.00,000000000000.00,N,,,Y,,,
R72 12105 0029,both,DAYTON CITY OF,TENNYSON AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000001290.00,000000000000.00,N,Public Works,Other,Y,39113-000400-1,39.76811442583501,-84.23842555499702
R72 12107 0015,both,DAYTON CITY OF,1202 SHAFTESBURY RD,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003140.00,000000000000.00,N,Planning,Surplus,Y,39113-000400-1,39.76930383925304,-84.23995055270227
R72 12108 0006,both,CITY OF DAYTON,1312 KINGSLEY AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004020.00,000000000000.00,N,Planning,Surplus,Y,39113-000400-1,39.770374677324405,-84.2422565332727
R72 12110 0021,county_only,DAYTON CITY OF,JAMES H MCGEE BLVD,DAYTON,400,Commercial vacant land,C,0000.06400,000000000000.00,000000000000.00,N,,,Y,,39.7680682886862,-84.24065667010268
R72 12111 0040,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.77169313935868,-84.23650009867477
R72 12112 0042,county_only,DAYTON CITY OF,1541 KIPLING DR,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000007370.00,000000000000.00,N,,,Y,39113-000400-3,39.77578754121984,-84.2429363956047
R72 12112 0274,both,CITY OF DAYTON,1426 KIPLING DR,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001420.00,000000000000.00,N,Planning,Surplus,Y,39113-000400-3,39.7735627141228,-84.24133701743021
R72 12114 0001,both,DAYTON CITY OF,1553 WESLEYAN RD,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000006920.00,000000000000.00,N,Public Works,Other,Y,39113-000400-1,39.77597563336502,-84.24401336708632
R72 12114 0003,both,DAYTON CITY OF,WESLEYAN RD,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000006120.00,000000000000.00,N,Public Works,Other,Y,39113-000400-1,39.77567453872245,-84.24460564894945
R72 12203 0020,county_only,CITY OF DAYTON OHIO,1016 WALTON AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000004480.00,000000000000.00,N,,,Y,39113-003800-1,39.76601706062469,-84.24354769651741
R72 12210 0008,both,DAYTON CITY OF,3017 HOOVER AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000004050.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-4,39.76173881102911,-84.24079538325871
R72 12211 0026,county_only,CITY OF DAYTON OHIO,3121 3123 HOOVER AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002800.00,000000000000.00,N,,,Y,39113-003800-4,39.761702340046526,-84.24213931521625
R72 12303 0026,county_only,CITY OF DAYTON OHIO,915 LELAND AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002820.00,000000000000.00,N,,,Y,39113-003800-3,39.76410981316588,-84.24512770851561
R72 12304 0019,both,DAYTON CITY OF,WALTON AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-3,39.7633924386329,-84.24425586621949
R72 12305 0034,both,DAYTON CITY OF,866 UPLAND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-3,39.76350072056892,-84.24675270411187
R72 12409 0033,county_only,DAYTON CITY OF,KAMMER AVE,DAYTON,500,"Residential vacant land, lot",R,0000.10900,000000002580.00,000000000000.00,N,,,Y,39113-070202-2,39.75926328227419,-84.25442936609231
R72 12411 0029,both,DAYTON CITY OF,SAYRE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002230.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-2,39.7584977132642,-84.26405367034093
R72 12411 0030,both,DAYTON CITY OF,SAYRE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002230.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-2,39.758610646983854,-84.26388328271533
R72 12411 0086,both,DAYTON CITY OF,828 MIA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002520.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-2,39.76038461197718,-84.26574423390451
R72 12411 0087,both,DAYTON CITY OF,MIA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002260.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-2,39.76028964300747,-84.2656359567927
R72 12411 0124,both,DAYTON CITY OF,MIA AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002260.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-2,39.76005412914293,-84.26617344615937
R72 12414 0060,both,DAYTON CITY OF,773 SUNLIGHT AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002610.00,000000000000.00,N,Public Works,Other,Y,39113-070202-1,39.759123528866255,-84.27140043266519
R72 12414 0082,both,DAYTON CITY OF,STRAWBERRY ROW,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-1,39.759449667986814,-84.27041747910225
R72 12414 0086,both,DAYTON CITY OF,STRAWBERRY ROW,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-1,39.75966843725098,-84.27042238926836
R72 12414 0096,both,DAYTON CITY OF,STRAWBERRY ROW,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-1,39.759777821871566,-84.27042484410119
R72 12414 0134,both,DAYTON CITY OF,785 GOODLOW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-1,39.759471744610686,-84.26924682791326
R72 12414 0136,both,DAYTON CITY OF,781 GOODLOW AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002210.00,000000000000.00,N,Planning,Surplus,Y,39113-070202-1,39.75935985731267,-84.26924398709684
R72 12414 0208,county_only,DAYTON CITY OF,HOOVER AVE,DAYTON,500,"Residential vacant land, lot",R,0000.01220,000000001530.00,000000000000.00,N,,,Y,,,
R72 12414 0209,county_only,DAYTON CITY OF,HOOVER AVE,DAYTON,400,Commercial vacant land,C,0000.00410,000000000000.00,000000000000.00,N,,,Y,,,
R72 12414 0210,county_only,DAYTON CITY OF,HOOVER AVE,DAYTON,400,Commercial vacant land,C,0000.00800,000000000000.00,000000000000.00,N,,,Y,,,
R72 12504 0028,both,DAYTON CITY OF,ANNA ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001700.00,000000000000.00,N,Public Works,Other,Y,39113-003800-5,39.761104687281595,-84.23659137067507
R72 12601 0043,both,DAYTON CITY OF,248 LORENZ AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002220.00,000000000000.00,N,,,Y,39113-003900-3,39.757816981235635,-84.23511905716789
R72 12601 0058,both,CITY OF DAYTON,221 ARDMORE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002390.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-3,39.75707168516633,-84.23445659742166
R72 12601 0062,both,CITY OF DAYTON,205 ARDMORE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002390.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-3,39.756648790555275,-84.23446029381
R72 12602 0026,both,CITY OF DAYTON,245 SHOOP AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002270.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-2,39.75769269119952,-84.23905069859968
R72 12606 0036,both,CITY OF DAYTON,434 BURLEIGH AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002590.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-2,39.75734464661095,-84.24582637020254
R72 12702 0024,both,CITY OF DAYTON,2925 PRESTON ST,DAYTON,613,Exempt land only,E,0000.00000,000000002550.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-1,39.75554027317447,-84.25191074088261
R72 12708 0031,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.75497512260722,-84.24102486864484
R72 12709 0045,both,DAYTON CITY OF,2ND ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002370.00,000000000000.00,N,Public Works,Other,Y,39113-003900-2,39.754289426811155,-84.23923198555138
R72 12709 0046,both,DAYTON CITY OF,2ND ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002780.00,000000000000.00,N,Public Works,Other,Y,39113-003900-2,39.75435176903238,-84.23908488485569
R72 12711 0019,both,DAYTON CITY OF,175 ARDMORE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002390.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-3,39.75600594026244,-84.23447984789551
R72 12803 0022,both,CITY OF DAYTON,128 UPLAND AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002990.00,000000000000.00,N,Public Works,Other,Y,39113-003900-1,39.75310929176487,-84.24646018730209
R72 12805 0037,both,DAYTON CITY OF,68 ALDER ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003120.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-1,39.75170385476302,-84.25083962902269
R72 12807 0002,both,DAYTON CITY OF,N ALDER ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002790.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-1,39.751898565731324,-84.25030738149869
R72 12807 0015,both,DAYTON CITY OF,CALHOUN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001810.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-1,39.752065137063205,-84.24979099599592
R72 12807 0016,both,DAYTON CITY OF,CALHOUN ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000500.00,000000000000.00,N,Planning,Surplus,Y,39113-003900-1,39.751979399870756,-84.24978927701818
R72 12904 0003,both,DAYTON CITY OF,618 CIRCLE RD,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002030.00,000000000000.00,N,Planning,Surplus,Y,39113-004400-1,39.75657499712897,-84.26345265490322
R72 13004 0014,county_only,CITY OF DAYTON OHIO,312 GENEVA RD,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000003130.00,000000000000.00,N,,,Y,39113-004400-2,39.751740906794296,-84.26008248960206
R72 13101 0021,both,DAYTON CITY OF,40 S HATFIELD ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000660.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-1,39.74839557261817,-84.2515426648053
R72 13101 0032,both,CITY OF DAYTON,S HATFIELD ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001770.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-1,39.74848642512971,-84.25154381250098
R72 13102 0048,both,CITY OF DAYTON,25 DECKER AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002300.00,000000000000.00,N,Public Works,Other,Y,39113-004600-1,39.749524589010925,-84.24834104458985
R72 13104 0015,both,DAYTON CITY OF,3809 MCCALL ST,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000005750.00,000000000000.00,N,Public Works,Other,Y,39113-004600-1,39.746931828664025,-84.25228839514588
R72 13107 0016,both,CITY OF DAYTON,LOOKOUT AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002480.00,000000000000.00,N,Public Works,Other,Y,39113-004600-3,39.7460454529714,-84.25170413066225
R72 13107 0022,both,CITY OF DAYTON,200 LOOKOUT AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002490.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-3,39.746561122672105,-84.25137557632547
R72 13107 0023,both,CITY OF DAYTON,200 LOOKOUT AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002480.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-3,39.74644849900551,-84.25123337839972
R72 13107 0026,both,CITY OF DAYTON,LOOKOUT AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002490.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-3,39.7461223272359,-84.25136536575465
R72 13107 0028,both,DAYTON CITY OF,213 ANTIETAM AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002490.00,000000000000.00,N,,,Y,39113-004600-3,39.74622090546578,-84.25063351489695
R72 13108 0005,both,DAYTON CITY OF,3416 CHICAMAUGA AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002610.00,000000000000.00,N,Public Works,Other,Y,39113-004600-3,39.74531999754788,-84.24974909010231
R72 13201 0033,both,DAYTON CITY OF,329 LOOKOUT AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002480.00,000000000000.00,N,Planning,Surplus,Y,39113-004600-3,39.74429231545724,-84.25200578004771
R72 13202 0005,both,DAYTON CITY OF,359 357 ANTIETAM AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002490.00,000000000000.00,N,Public Works,Other,Y,39113-004600-3,39.74398558033619,-84.25053548607853
R72 13202 0049,both,CITY OF DAYTON,HOME AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,39113-004200-1,39.74279236085706,-84.24903413484314
R72 13203 0018,county_only,CITY OF DAYTON,HOME AVE,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13205 0054,both,DAYTON CITY OF,524 GROVELAND AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000001720.00,000000000000.00,N,,,Y,39113-004200-1,39.74352996384433,-84.23995801729416
R72 13205 0055,both,CITY OF DAYTON,520 GROVELAND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001610.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-1,39.74362598819695,-84.23995668481844
R72 13211 0072,county_only,DAYTON CITY OF,674 S GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000006360.00,000000000000.00,N,,,Y,39113-004200-2,39.73804985269633,-84.25259865021164
R72 13211 0073,county_only,"CITY OF DAYTON, THE",700 S GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000006290.00,000000000000.00,N,,,Y,39113-004200-2,39.737807300259135,-84.2526600888187
R72 13211 0086,both,DAYTON CITY OF,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000003850.00,000000000000.00,N,,,Y,39113-004200-2,39.73569367992588,-84.25261405400278
R72 13211 0087,both,DAYTON CITY OF,838 GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000003850.00,000000000000.00,N,,,Y,39113-004200-2,39.73560026576268,-84.25261526067094
R72 13211 0104,county_only,DAYTON CITY OF,726 S GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000017580.00,000000000000.00,N,,,Y,39113-004200-2,39.73684516850564,-84.25254697627966
R72 13211 0193,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.01000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0194,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.07200,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0195,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0196,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00400,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0197,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00300,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0199,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00100,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0200,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,400,Commercial vacant land,C,0000.14400,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0201,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00200,000000000000.00,000000000000.00,N,,,Y,,,
R72 13211 0202,county_only,CITY OF DAYTON,GETTYSBURG AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00230,000000000000.00,000000000000.00,N,,,Y,,,
R72 13215 0020,county_only,CITY OF DAYTON,GERMANTOWN ST,DAYTON,400,Commercial vacant land,C,0000.00800,000000000000.00,000000000000.00,N,,,Y,,,
R72 13216 0044,county_only,DAYTON CITY OF,679 LA SALLE DR,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000004600.00,000000000000.00,N,,,Y,39113-004200-2,39.73805019090434,-84.24890684670365
R72 13307 0022,both,DAYTON CITY OF,821 BLANCHE ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003390.00,000000000000.00,N,Planning,Surplus,Y,39113-004200-2,39.739454186173525,-84.24167379396567
R72 13314 0026,county_only,CITY OF DAYTON,LAKESIDE DR,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13314 0027,county_only,CITY OF DAYTON,LAKESIDE DR,DAYTON,400,Commercial vacant land,C,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13404 0006,city_layer_only,,,,,,,,,,N,Planning,Surplus,Y,,39.740219494718296,-84.23318232250432
R72 13406 0045,both,DAYTON CITY OF,1217 RANDOLPH ST,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000003570.00,000000000000.00,N,Planning,Surplus,Y,39113-004100-2,39.7371199913558,-84.22947883099381
R72 13804 0011,county_only,THE CITY OF DAYTON,725 WILMINGTON AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000000000.00,000000000000.00,N,,,Y,,,
R72 13808 0007,county_only,DAYTON CITY OF,FIRWOOD DR,DAYTON,400,Commercial vacant land,C,0000.20400,000000000000.00,000000000000.00,N,,,Y,,,
R72 14611 0075,both,DAYTON CITY OF,2315 S SMITHVILLE RD,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000006930.00,000000000000.00,N,Planning,Surplus,Y,39113-003000-1,39.733423429223905,-84.14111866704444
R72 15206 0056,both,CITY OF DAYTON,LINDEN AVE,DAYTON,400,Commercial vacant land,C,0000.06100,000000000000.00,000000000000.00,N,,,Y,39113-002700-2,39.74809614296611,-84.13481971125012
R72 15304 0017,both,DAYTON CITY OF,SMITHVILLE & KEYSTONE,DAYTON,400,Commercial vacant land,C,0000.00000,000000013300.00,000000000000.00,N,Public Works,Other,Y,39113-002400-2,39.75101699407573,-84.13963715836937
R72 15503 0043,both,CITY OF DAYTON,PATTON AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002300.00,000000000000.00,N,Planning,Surplus,Y,39113-004400-3,39.748985853762676,-84.27087663652951
R72 15504 0058,both,CITY OF DAYTON,STRAND AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001420.00,000000000000.00,N,Planning,Surplus,Y,39113-060300-1,39.745863239976174,-84.2696447776381
R72 15504 0140,both,CITY OF DAYTON,164 BLUECREST AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000002310.00,000000000000.00,N,Planning,Surplus,Y,39113-060300-1,39.7430592675777,-84.27076160569558
R72 15701 0220,both,CITY OF DAYTON,WOODSIDE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000000650.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-1,39.76761137147245,-84.2480770973085
R72 15701 0222,both,CITY OF DAYTON,WOODSIDE AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001240.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-1,39.767608652821714,-84.24843271566053
R72 15701 0224,both,CITY OF DAYTON,CICILION AVE,DAYTON,640,"Exempt, owned by municipals",E,0000.00000,000000001040.00,000000000000.00,N,Planning,Surplus,Y,39113-003800-1,39.7677019731327,-84.24870096277888
R72 15703 0072,both,CITY OF DAYTON,DANDRIDGE AVE,DAYTON,500,"Residential vacant land, lot",R,0000.00000,000000002520.00,000000000000.00,N,,,Y,39113-003800-3,39.765362142874714,-84.24884207064534
R72 15705 0021,county_only,THE CITY OF DAYTON,JAMES H MCGEE BLVD,DAYTON,400,Commercial vacant land,C,0000.13500,000000000000.00,000000000000.00,N,,,Y,,,
R72 15706 0016,county_only,THE CITY OF DAYTON,N GETTYSBURG AVE,DAYTON,400,Commercial vacant land,C,0000.16900,000000000000.00,000000000000.00,N,,,Y,,,
